time,curpos_x,curpos_y,curpos_z,curpos_a,curpos_c,mpt,melt_pool_area,outpower
2025-08-27 10:54:41.728,78.293,75.923,97.42,54.354,24.573,1576.4428408803974,,500.9576153364691
2025-08-27 10:54:41.789,143.831,10.41,132.651,-6.137,-28.534,1682.6984667220197,,501.70743421865205
2025-08-27 10:54:41.789,143.831,10.41,132.651,-6.137,-28.534,1682.6984667220197,,501.70743421865205
2025-08-27 10:54:41.881,42.979,94.651,-22.811,36.677,-10.071,1773.8419521992282,,500.8235387709392
2025-08-27 10:54:41.915,50.541,20.601,15.318,-14.246,72.179,1637.4586711336115,,507.55190055495586
2025-08-27 10:54:41.976,-21.009,72.815,85.597,137.597,28.798,1627.301668785695,,503.37947667041976
2025-08-27 10:54:42.010,-33.72,67.123,-11.743,17.429,83.06,1508.3070489506042,,485.70133129868816
2025-08-27 10:54:42.072,126.117,62.007,-22.627,43.471,27.879,1432.0647635871817,,502.84757060167607
2025-08-27 10:54:42.103,24.353,60.854,15.982,84.47,-11.727,1547.680191671033,,508.2230251088089
2025-08-27 10:54:42.164,91.228,110.743,69.462,24.937,4.741,1620.8327920098257,,509.61779077279317
2025-08-27 10:54:42.196,39.318,-16.87,76.441,17.984,23.897,1548.2379467287801,,497.99421311775177
2025-08-27 10:54:42.259,49.668,8.954,79.61,36.901,30.374,1672.8740687162178,,499.0604526891753
2025-08-27 10:54:42.290,0.152,-44.232,71.022,-24.819,28.811,1734.078862731231,,485.09297091949554
2025-08-27 10:54:42.351,71.068,25.999,-7.799,-37.243,129.377,1562.9075883411215,,509.7359919658886
2025-08-27 10:54:42.382,87.148,8.468,7.637,1.291,102.886,1463.9834885577716,,500.2764431085771
2025-08-27 10:54:42.444,30.064,19.925,57.395,-9.77,27.076,1621.4334575874652,,487.3917441631886
2025-08-27 10:54:42.476,109.151,97.012,85.871,110.448,61.001,1637.035017206844,,494.1532769910224
2025-08-27 10:54:42.537,148.885,45.448,-42.026,25.143,107.668,1618.2169517788752,,491.6235582353834
2025-08-27 10:54:42.567,127.119,73.761,35.263,75.227,145.206,1582.1454971886692,,501.2954999406606
2025-08-27 10:54:42.630,10.703,35.108,-34.926,43.869,-14.656,1683.9758237851006,,497.892423900308
2025-08-27 10:54:42.661,49.241,9.732,76.309,86.801,-25.394,1622.4416794217493,,493.4625147314241
2025-08-27 10:54:42.727,53.728,2.964,104.962,11.265,93.969,1590.9960001025659,,502.27686938498937
2025-08-27 10:54:42.754,37.596,14.343,70.893,80.87,69.257,1569.4854619341954,,499.2731507141107
2025-08-27 10:54:42.816,-75.308,43.928,80.353,137.351,105.506,1821.1965156603203,,504.3687625545013
2025-08-27 10:54:42.816,-75.308,43.928,80.353,137.351,105.506,1821.1965156603203,,504.3687625545013
2025-08-27 10:54:42.909,81.961,86.682,-50.603,51.735,50.111,1444.6118856240407,,497.55402939751906
2025-08-27 10:54:42.941,40.045,97.167,104.056,40.622,63.547,1663.6647874989974,,513.1160837382579
2025-08-27 10:54:42.974,29.447,58.522,71.94,107.094,112.903,1643.0923466962402,,506.60655321165615
2025-08-27 10:54:43.035,118.48,78.126,8.749,58.002,66.07,1694.419195529523,,506.93859198169463
2025-08-27 10:54:43.066,30.389,66.76,5.412,84.981,41.966,1543.2386173746797,,501.7449796641489
2025-08-27 10:54:43.130,47.178,35.864,119.951,100.851,-48.891,1656.9181375586954,,499.28376761954127
2025-08-27 10:54:43.161,-13.551,9.661,2.981,51.075,12.901,1535.5197954084645,,491.5360966371686
2025-08-27 10:54:43.223,-38.354,72.726,15.566,29.444,38.928,1524.8499170813448,,493.60109802848484
2025-08-27 10:54:43.255,29.635,133.389,76.084,71.098,107.68,1446.4387232673635,,485.42976008023726
2025-08-27 10:54:43.319,-25.848,96.856,23.017,57.701,57.523,1547.1476163953287,,484.6352937344906
2025-08-27 10:54:43.351,38.223,8.126,28.176,127.282,110.262,1650.4756246999084,,495.7165559074226
2025-08-27 10:54:43.412,45.472,133.244,-4.107,59.473,35.181,1607.1644700917861,,493.82361178716536
2025-08-27 10:54:43.444,-16.957,67.146,33.853,16.018,26.186,1670.512734924502,,499.1418245341729
2025-08-27 10:54:43.506,11.444,75.419,-38.577,85.02,-25.087,1701.95884907853,,498.8721932586659
2025-08-27 10:54:43.538,66.364,39.326,87.283,51.196,-64.607,1681.4993035919715,,507.45076070139913
2025-08-27 10:54:43.601,-9.963,64.365,73.975,62.182,77.92,1542.9793344236264,,485.16489707494867
2025-08-27 10:54:43.632,107.044,-34.073,70.912,10.1,67.151,1604.0942055035273,,501.98512442050327
